CI_ID,Data_Year,year,treatment,CI_Start_Year,CI_End_Year,forest_loss_ha,Emissions_MgCO2e,n_pixels
BRA1007,2024,2018,FALSE,2018,2099,-1216.288469223618,34620.53865200722,865
BRA1007,2024,2018,TRUE,2018,2099,-202.31214355182098,5998.167268825805,865
BRA1007,2024,2019,FALSE,2018,2099,-1123.656747106872,32726.594918711526,865
BRA1007,2024,2019,TRUE,2018,2099,-496.1469567235495,17479.17644204743,865
BRA1007,2024,2020,FALSE,2018,2099,-1577.659753085561,41274.56206518795,865
BRA1007,2024,2020,TRUE,2018,2099,-833.7434425174846,33343.73745499225,865
BRA1007,2024,2021,FALSE,2018,2099,-2192.7822890309244,51651.462063757564,865
BRA1007,2024,2021,TRUE,2018,2099,-1238.5102685476315,51991.88395540268,865
BRA1007,2024,2022,FALSE,2018,2099,-1831.8938022748584,45827.08477529258,865
BRA1007,2024,2022,TRUE,2018,2099,-709.4843548846384,23688.12765338258,865
BRA1007,2024,2023,FALSE,2018,2099,-1451.0813702393132,27276.65187110544,865
BRA1007,2024,2023,TRUE,2018,2099,-539.4301179171987,19686.846977512036,865
BRA1008,2024,2018,FALSE,2018,2099,-281.0223037179779,15839.055194890636,272
BRA1008,2024,2018,TRUE,2018,2099,-492.9292310752413,29129.187290665013,272
BRA1008,2024,2019,FALSE,2018,2099,-608.4068458220538,17508.184882538815,272
BRA1008,2024,2019,TRUE,2018,2099,-210.3798590337529,11666.341097673316,272
BRA1008,2024,2020,FALSE,2018,2099,-654.9906603597543,24379.101534731817,272
BRA1008,2024,2020,TRUE,2018,2099,-186.87656126916409,10656.695035380713,272
BRA1008,2024,2021,FALSE,2018,2099,-793.8866959293099,26986.36106158766,272
BRA1008,2024,2021,TRUE,2018,2099,-1009.2790023237467,33163.22204761634,272
BRA1008,2024,2022,FALSE,2018,2099,-920.8666565466453,34100.25101141171,272
BRA1008,2024,2022,TRUE,2018,2099,-808.2990937373218,32164.648048021183,272
BRA1008,2024,2023,FALSE,2018,2099,-1291.0723543912172,37653.64287726306,272
BRA1008,2024,2023,TRUE,2018,2099,-994.2002484114731,40449.3085216922,272
BRA1011,2024,2018,FALSE,2018,2099,-473.3012383503926,15877.115495342136,1133
BRA1011,2024,2018,TRUE,2018,2099,-1653.9958122233215,72960.85914761077,1133
BRA1011,2024,2019,FALSE,2018,2099,-647.0429925438796,24536.007266267967,1133
BRA1011,2024,2019,TRUE,2018,2099,-816.0317596945212,35253.04347244413,1133
BRA1011,2024,2020,FALSE,2018,2099,-817.8116556362883,33809.47887230076,1133
BRA1011,2024,2020,TRUE,2018,2099,-685.172326383397,23553.15284052556,1133
BRA1011,2024,2021,FALSE,2018,2099,-458.7122325669951,22126.011491826986,1133
BRA1011,2024,2021,TRUE,2018,2099,-1386.8005617874865,48303.031359679866,1133
BRA1011,2024,2022,FALSE,2018,2099,-1708.9527036678653,73634.46042463642,1133
BRA1011,2024,2022,TRUE,2018,2099,-910.3391715622747,42934.696706111405,1133
BRA1011,2024,2023,FALSE,2018,2099,-961.4606695663371,25060.120025743185,1133
BRA1011,2024,2023,TRUE,2018,2099,-2987.29368115229,107418.10009022066,1133
BRA1012,2024,2018,FALSE,2018,2099,-18611.619759357778,819706.9917486599,2230
BRA1012,2024,2018,TRUE,2018,2099,-89631.70890955604,3201067.989405478,2230
BRA1012,2024,2019,FALSE,2018,2099,-28203.363749662323,927558.0696994229,2230
BRA1012,2024,2019,TRUE,2018,2099,-69212.62379952247,2505334.405856195,2230
