ci_id,biome,ci_divisio,ci_divis_1,country,new_or_con,new_or_c_1,ci_sls_1,ci_sls_2,ecosystem,tstor_ic,ha_high_ic,ha_ic,tonnes_ha_ic,tstor_blue_ic
PHL1098,Marine,Asia-Pacific Field Division,NA,Philippines,NA,Continued this year,Not Applicable,Not Applicable,Primary forest,4.43025016784668,0,98.82572174072266,0.00450640847100669,0
PHL1098,Marine,Asia-Pacific Field Division,NA,Philippines,NA,Continued this year,Not Applicable,Not Applicable,Secondary forest,0.00490068597719073,0,0,4.9849313164385445e-6,0
PHL1099,Marine,Asia-Pacific Field Division,NA,Philippines,NA,Continued this year,Not Applicable,Not Applicable,Secondary forest,0.22866258025169373,0,0,3.461385390043955e-4,0
PHL1099,Marine,Asia-Pacific Field Division,NA,Philippines,NA,Continued this year,Not Applicable,Not Applicable,Grassland,4.445889949798584,17.776893615722656,17.776893615722656,0.00672997676359513,0
PHL1101,Marine,Asia-Pacific Field Division,NA,Philippines,NA,Continued this year,Not Applicable,Not Applicable,Primary forest,1.7007105350494385,2.780289649963379,2.780289649963379,0.00144997999441516,0
PHL1101,Marine,Asia-Pacific Field Division,NA,Philippines,NA,Continued this year,Not Applicable,Not Applicable,Grassland,2.788897752761841,0,0,0.00237773910647089,0
PHL1102,Marine,Asia-Pacific Field Division,NA,Philippines,NA,Continued this year,Not Applicable,Not Applicable,Primary forest,0.07628699392080307,0.28207284212112427,0.28207284212112427,0.00300579172264787,0
NCL1015,Marine,Asia-Pacific Field Division,NA,New Caledonia,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Mangroves,0.00861344952136278,0.0141399186104536,0.0141399186104536,6.809051005029867e-4,0.00861344952136278
NCL1015,Marine,Asia-Pacific Field Division,NA,New Caledonia,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Salt marsh,0.26619651913642883,0.2612285315990448,0.2612285315990448,0.02104320309378884,0.26619651913642883
NCL1016,Terrestrial + Marine,Asia-Pacific Field Division,NA,New Caledonia,New this year,New this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Salt marsh,12.973445892333984,8.797253608703613,8.797253608703613,1.3064900193689812,12.973445892333984
