n_overlaps,ci_id_1,ci_id_2,ci_id_3,ci_id_4,ci_id_5,ecosystem,tstor_ic,ha_high_ic,ha_ic,tonnes_ha_ic,tstor_blue_ic
2,BRA1030,BRA1067,NA,NA,NA,Secondary forest,0.014544347301125526,0,0,1.491327020395585e-4,0
2,BRA1039,BRA1068,NA,NA,NA,Primary forest,39.585994720458984,63.77333450317383,133.48886108398437,0.1310681693421279,0
2,BRA1039,BRA1068,NA,NA,NA,Secondary forest,24.315492630004883,22.596912384033203,80.23835754394531,0.08050794550375746,0
2,BRA1039,BRA1068,NA,NA,NA,Grassland,3.7414426803588867,0,12.047719955444336,0.012387816607263407,0
2,BRA1068,BRA1069,NA,NA,NA,Primary forest,89.07569885253906,143.03721618652344,460.0003356933594,0.14747537615557602,0
2,BRA1068,BRA1069,NA,NA,NA,Secondary forest,0.43244731426239014,0,5.584280014038086,7.15967779763276e-4,0
2,BRA1018,BRA1070,NA,NA,NA,Primary forest,0.14775854349136353,0,0.23971781134605408,0.03933156977050298,0
2,BRA1018,BRA1070,NA,NA,NA,Secondary forest,0.23536556959152222,0,1.443254828453064,0.06265151985952147,0
2,BRA1018,BRA1070,NA,NA,NA,Grassland,0.003724287264049053,0,0,9.91361046949565e-4,0
2,BRA1069,BRA1070,NA,NA,NA,Primary forest,2.89874267578125,3.5901882648468018,5.280890941619873,0.4851550805250213,0
2,BRA1071,BRA1073,NA,NA,NA,Primary forest,14722.044921875,22044.95703125,35589.53515625,0.3995968856297973,0
2,ECU1001,ECU1002,NA,NA,NA,Primary forest,0.03339814022183418,0.021243631839752197,0.03081260807812214,0.014182000153144596,0
2,ECU1001,ECU1002,NA,NA,NA,Secondary forest,0.03123750537633896,0.024344738572835922,0.04770030453801155,0.013264520212460043,0
2,ECU1001,ECU1002,NA,NA,NA,Grassland,0.035282090306282043,0.02375393733382225,0.0364079512655735,0.01498199021871984,0
2,ECU1001,ECU1002,NA,NA,NA,Wetlands,0.042616795748472214,0.01956505887210369,0.02765228971838951,0.018096558665151103,0
2,ECU1001,ECU1002,NA,NA,NA,Mangroves,0.009236525744199753,0.0029103215783834457,0.0029103215783834457,0.003922146821610385,0.009236525744199753
